,Release Date,Season,Episode,Episode Title,Name,Sentence,House,Sentences_Clean,Num_Words,Tokenized_Sentence,Tokenized_No_Stop,Stemmed_Sentence,Stemmed_Sentence_Non_Token,Sentiment,Sentiment_Compound_Score,Lannister_Word_Ranking,Lannister_Word_Score,Stark_Word_Score,Targaryen_Word_Score,Mormont_Word_Score
40,4/17/2011,Season 1,Episode 1,Winter is Coming,jon snow,Father will know if you do.,House Stark, father will know if you do,6,"['father', 'will', 'know', 'if', 'you', 'do']","['father', 'know']","['father', 'know']", father know,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0027214823393167343,0.0027214823393167343,0.006248884127834316,0.002459016393442623,0.0019023462270133164
42,4/17/2011,Season 1,Episode 1,Winter is Coming,jon snow,You did well.,House Stark, you did well,3,"['you', 'did', 'well']",['well'],['well'], well,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.2732}",0.2732,0.0015055008685581934,0.0015055008685581934,0.0010712372790573112,0.0,0.0019023462270133164
44,4/17/2011,Season 1,Episode 1,Winter is Coming,bran stark,Jon said he was a deserter.,House Stark, jon said he was a deserter,6,"['jon', 'said', 'he', 'was', 'a', 'deserter']","['jon', 'said', 'deserter']","['jon', 'said', 'deserter']", jon said deserter,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0012738853503184713,0.00042462845010615707,0.00047610545735880496,0.0,0.0
46,4/17/2011,Season 1,Episode 1,Winter is Coming,bran stark,Our way is the old way?,House Stark, our way is the old way,6,"['our', 'way', 'is', 'the', 'old', 'way']","['way', 'old', 'way']","['way', 'old', 'way']", way old way,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,,0.0,0.0009522109147176099,0.0014571948998178506,0.0
48,4/17/2011,Season 1,Episode 1,Winter is Coming,bran stark,Is it true he saw the White Walkers?,House Stark, is it true he saw the white walkers,8,"['is', 'it', 'true', 'he', 'saw', 'the', 'white', 'walkers']","['true', 'saw', 'white', 'walkers']","['true', 'saw', 'white', 'walker']", true saw white walker,"{'neg': 0.0, 'neu': 0.517, 'pos': 0.483, 'compound': 0.4215}",0.4215,0.0012738853503184713,0.0003184713375796178,0.0005356186395286556,0.0,0.0003170577045022194
50,4/17/2011,Season 1,Episode 1,Winter is Coming,bran stark,So he was lying?,House Stark, so he was lying,4,"['so', 'he', 'was', 'lying']",['lying'],['lying'], lying,"{'neg': 1.0, 'neu': 0.0, 'pos': 0.0, 'compound': -0.5267}",-0.5267,,0.0,0.0,0.0,0.0
52,4/17/2011,Season 1,Episode 1,Winter is Coming,jon snow,What is it?,House Stark, what is it,3,"['what', 'is', 'it']",[],[],,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",0.0,,0.0,0.0,0.0,0.0
58,4/17/2011,Season 1,Episode 1,Winter is Coming,robb stark,There are no direwolves south of the Wall.,House Stark, there are no direwolves south of the wall,8,"['there', 'are', 'no', 'direwolves', 'south', 'of', 'the', 'wall']","['direwolves', 'south', 'wall']","['direwolves', 'south', 'wall']", direwolves south wall,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0010422698320787492,0.0003474232773595831,0.0007141581860382074,0.0,0.0006341154090044388
59,4/17/2011,Season 1,Episode 1,Winter is Coming,jon snow,Now there are five.,House Stark, now there are five,4,"['now', 'there', 'are', 'five']",['five'],['five'], five,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,,0.0,0.0,0.0,0.0
60,4/17/2011,Season 1,Episode 1,Winter is Coming,jon snow,You want to hold it?,House Stark, you want to hold it,5,"['you', 'want', 'to', 'hold', 'it']","['want', 'hold']","['want', 'hold']", want hold,"{'neg': 0.0, 'neu': 0.435, 'pos': 0.565, 'compound': 0.0772}",0.0772,0.0020845396641574984,0.0010422698320787492,0.002678093197643278,0.003005464480874317,0.0019023462270133164
61,4/17/2011,Season 1,Episode 1,Winter is Coming,bran stark,Where will they go? Their mother's dead.,House Stark, where will they go their mothers dead,7,"['where', 'will', 'they', 'go', 'their', 'mothers', 'dead']","['go', 'mothers', 'dead']","['go', 'mother', 'dead']", go mother dead,"{'neg': 0.683, 'neu': 0.317, 'pos': 0.0, 'compound': -0.6486}",-0.6486,0.0015634047481181239,0.0010422698320787492,0.0026185800154734274,0.000546448087431694,0.001479602621010357
65,4/17/2011,Season 1,Episode 1,Winter is Coming,bran stark,NO!,House Stark, no,1,['no'],[],[],,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",0.0,,0.0,0.0,0.0,0.0
66,4/17/2011,Season 1,Episode 1,Winter is Coming,robb stark,Put away your blade.,House Stark, put away your blade,4,"['put', 'away', 'your', 'blade']","['put', 'away', 'blade']","['put', 'away', 'blade']", put away blade,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0011580775911986102,0.0003860258637328701,0.000773671368208058,0.0007285974499089253,0.0
68,4/17/2011,Season 1,Episode 1,Winter is Coming,bran stark,"Please, father!",House Stark, please father,2,"['please', 'father']","['please', 'father']","['please', 'father']", please father,"{'neg': 0.0, 'neu': 0.303, 'pos': 0.697, 'compound': 0.3182}",0.3182,0.0031268094962362478,0.0015634047481181239,0.004909837529012676,0.001092896174863388,0.0009511731135066582
70,4/17/2011,Season 1,Episode 1,Winter is Coming,jon snow,Lord Stark? There are five pups. One for each of the Stark children. The direwolf is the sigil of your House. They were meant to have them.,House Stark, lord stark there are five pups one for each of the stark children the direwolf is the sigil of your house they were meant to have them,27,"['lord', 'stark', 'there', 'are', 'five', 'pups', 'one', 'for', 'each', 'of', 'the', 'stark', 'children', 'the', 'direwolf', 'is', 'the', 'sigil', 'of', 'your', 'house', 'they', 'were', 'meant', 'to', 'have', 'them']","['lord', 'stark', 'five', 'pups', 'one', 'stark', 'children', 'direwolf', 'sigil', 'house', 'meant']","['lord', 'stark', 'five', 'pup', 'one', 'stark', 'child', 'direwolf', 'sigil', 'house', 'meant']", lord stark five pup one stark child direwolf sigil house meant,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.003995367689635205,0.0014528609780491656,0.001314700297024882,0.0003974167908594138,0.0006341154090044389
72,4/17/2011,Season 1,Episode 1,Winter is Coming,bran stark,What about you?,House Stark, what about you,3,"['what', 'about', 'you']",[],[],,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",0.0,,0.0,0.0,0.0,0.0
73,4/17/2011,Season 1,Episode 1,Winter is Coming,jon snow,I'm not a Stark. Get on.,House Stark, i am not a stark get on,7,"['i', 'am', 'not', 'a', 'stark', 'get', 'on']","['stark', 'get']","['stark', 'get']", stark get,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0028372900984365954,0.0028372900984365954,0.0017853954650955187,0.0,0.0015852885225110971
74,4/17/2011,Season 1,Episode 1,Winter is Coming,robb stark,What is it?,House Stark, what is it,3,"['what', 'is', 'it']",[],[],,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",0.0,,0.0,0.0,0.0,0.0
76,4/17/2011,Season 1,Episode 1,Winter is Coming,jaime lannister,"As your brother, I feel it's my duty to warn you",House Lannister, as your brother i feel it is my duty to warn you,12,"['as', 'your', 'brother', 'i', 'feel', 'it', 'is', 'my', 'duty', 'to', 'warn', 'you']","['brother', 'feel', 'duty', 'warn']","['brother', 'feel', 'duty', 'warn']", brother feel duty warn,"{'neg': 0.318, 'neu': 0.682, 'pos': 0.0, 'compound': -0.1027}",-0.1027,0.00335842501447597,0.0008396062536189925,0.0006695232994108195,0.000819672131147541,0.0003170577045022194
77,4/17/2011,Season 1,Episode 1,Winter is Coming,cersei lannister,"And you never worry about anything. When we were seven, you jumped off the cliffs as Casterly Rock. One hundred foot drop into the water. And you were never afraid.",House Lannister, and you never worry about anything when we were seven you jumped off the cliffs as casterly rock one hundred foot drop into the water and you were never afraid,30,"['and', 'you', 'never', 'worry', 'about', 'anything', 'when', 'we', 'were', 'seven', 'you', 'jumped', 'off', 'the', 'cliffs', 'as', 'casterly', 'rock', 'one', 'hundred', 'foot', 'drop', 'into', 'the', 'water', 'and', 'you', 'were', 'never', 'afraid']","['never', 'worry', 'anything', 'seven', 'jumped', 'cliffs', 'casterly', 'rock', 'one', 'hundred', 'foot', 'drop', 'water', 'never', 'afraid']","['never', 'worry', 'anything', 'seven', 'jumped', 'cliff', 'casterly', 'rock', 'one', 'hundred', 'foot', 'drop', 'water', 'never', 'afraid']", never worry anything seven jumped cliff casterly rock one hundred foot drop water never afraid,"{'neg': 0.12, 'neu': 0.743, 'pos': 0.137, 'compound': 0.0788}",0.0788,0.0016676317313259986,0.0005558772437753329,0.0005594239123965957,0.000801457194899818,0.0003804692454026633
78,4/17/2011,Season 1,Episode 1,Winter is Coming,jaime lannister,"There was nothing to be afraid of until you told father. [In a whisper, mimicking] We're Lannisters. Lannisters don't act like fools.",House Lannister, there was nothing to be afraid of until you told father in a whisper mimicking we are lannisters lannisters do not act like fools,24,"['there', 'was', 'nothing', 'to', 'be', 'afraid', 'of', 'until', 'you', 'told', 'father', 'in', 'a', 'whisper', 'mimicking', 'we', 'are', 'lannisters', 'lannisters', 'do', 'not', 'act', 'like', 'fools']","['nothing', 'afraid', 'told', 'father', 'whisper', 'mimicking', 'lannisters', 'lannisters', 'act', 'like', 'fools']","['nothing', 'afraid', 'told', 'father', 'whisper', 'mimicking', 'lannisters', 'lannisters', 'act', 'like', 'fool']", nothing afraid told father whisper mimicking lannisters lannisters act like fool,"{'neg': 0.201, 'neu': 0.625, 'pos': 0.174, 'compound': -0.1027}",-0.1027,0.001756417679984559,0.000958046007264305,0.0012822385612958726,0.0008445106805762543,0.00028823427682019947
79,4/17/2011,Season 1,Episode 1,Winter is Coming,cersei lannister,What if Jon Arryn told someone?,House Lannister, what if jon arryn told someone,6,"['what', 'if', 'jon', 'arryn', 'told', 'someone']","['jon', 'arryn', 'told', 'someone']","['jon', 'arryn', 'told', 'someone']", jon arryn told someone,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0008106543138390272,0.0002026635784597568,0.0003570790930191037,0.0004098360655737705,0.0
80,4/17/2011,Season 1,Episode 1,Winter is Coming,jaime lannister,But who would he tell?,House Lannister, but who would he tell,5,"['but', 'who', 'would', 'he', 'tell']","['would', 'tell']","['would', 'tell']", would tell,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.00335842501447597,0.00335842501447597,0.0041064095697196925,0.003278688524590164,0.0012682308180088776
81,4/17/2011,Season 1,Episode 1,Winter is Coming,cersei lannister,My husband.,House Lannister, my husband,2,"['my', 'husband']",['husband'],['husband'], husband,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,,0.0,0.0,0.0,0.0
82,4/17/2011,Season 1,Episode 1,Winter is Coming,jaime lannister,"If he told the king, both our heads would be skewered on the city gates by now. Whatever Jon Arryn knew or didn't know, it died with him. And Robert will choose a new Hand of the king, someone to do his job while he's off fucking boars and hunting whores. Or is it the other way around? And life will go on.",House Lannister, if he told the king both our heads would be skewered on the city gates by now whatever jon arryn knew or did not know it died with him and robert will choose a new hand of the king someone to do his job while he is off fucking boars and hunting whores or is it the other way around and life will go on,65,"['if', 'he', 'told', 'the', 'king', 'both', 'our', 'heads', 'would', 'be', 'skewered', 'on', 'the', 'city', 'gates', 'by', 'now', 'whatever', 'jon', 'arryn', 'knew', 'or', 'did', 'not', 'know', 'it', 'died', 'with', 'him', 'and', 'robert', 'will', 'choose', 'a', 'new', 'hand', 'of', 'the', 'king', 'someone', 'to', 'do', 'his', 'job', 'while', 'he', 'is', 'off', 'fucking', 'boars', 'and', 'hunting', 'whores', 'or', 'is', 'it', 'the', 'other', 'way', 'around', 'and', 'life', 'will', 'go', 'on']","['told', 'king', 'heads', 'would', 'skewered', 'city', 'gates', 'whatever', 'jon', 'arryn', 'knew', 'know', 'died', 'robert', 'choose', 'new', 'hand', 'king', 'someone', 'job', 'fucking', 'boars', 'hunting', 'whores', 'way', 'around', 'life', 'go']","['told', 'king', 'head', 'would', 'skewered', 'city', 'gate', 'whatever', 'jon', 'arryn', 'knew', 'know', 'died', 'robert', 'choose', 'new', 'hand', 'king', 'someone', 'job', 'fucking', 'boar', 'hunting', 'whore', 'way', 'around', 'life', 'go']", told king head would skewered city gate whatever jon arryn knew know died robert choose new hand king someone job fucking boar hunting whore way around life go,"{'neg': 0.225, 'neu': 0.687, 'pos': 0.088, 'compound': -0.7152}",-0.7152,0.002380492826352699,0.0007651584084705104,0.0010521080419312876,0.0005659640905542545,0.0005435274934323762
83,4/17/2011,Season 1,Episode 1,Winter is Coming,cersei lannister,You should be the Hand of the king.,House Lannister, you should be the hand of the king,8,"['you', 'should', 'be', 'the', 'hand', 'of', 'the', 'king']","['hand', 'king']","['hand', 'king']", hand king,"{'neg': 0.0, 'neu': 0.238, 'pos': 0.762, 'compound': 0.4939}",0.4939,0.0027214823393167343,0.0027214823393167343,0.0022317443313693984,0.0,0.0012682308180088776
84,4/17/2011,Season 1,Episode 1,Winter is Coming,jaime lannister,"That's an honor I can do without. Their days are too long, their lives are too short.",House Lannister, that is an honor i can do without their days are too long their lives are too short,18,"['that', 'is', 'an', 'honor', 'i', 'can', 'do', 'without', 'their', 'days', 'are', 'too', 'long', 'their', 'lives', 'are', 'too', 'short']","['honor', 'without', 'days', 'long', 'lives', 'short']","['honor', 'without', 'day', 'long', 'life', 'short']", honor without day long life short,"{'neg': 0.0, 'neu': 0.61, 'pos': 0.39, 'compound': 0.4939}",0.4939,0.0011001737116386797,0.0007334491410924531,0.00017853954650955185,0.00036429872495446266,0.0006341154090044388
85,4/17/2011,Season 1,Episode 1,Winter is Coming,catelyn stark,All these years and I still feel like an outsider when I come here.,House Stark, all these years and i still feel like an outsider when i come here,14,"['all', 'these', 'years', 'and', 'i', 'still', 'feel', 'like', 'an', 'outsider', 'when', 'i', 'come', 'here']","['years', 'still', 'feel', 'like', 'outsider', 'come']","['year', 'still', 'feel', 'like', 'outsider', 'come']", year still feel like outsider come,"{'neg': 0.0, 'neu': 0.667, 'pos': 0.333, 'compound': 0.3612}",0.3612,0.0019301293186643504,0.0009650646593321752,0.001130750461227162,0.0012750455373406193,0.0009511731135066582
87,4/17/2011,Season 1,Episode 1,Winter is Coming,catelyn stark,I wonder if the old gods agree.,House Stark, i wonder if the old gods agree,7,"['i', 'wonder', 'if', 'the', 'old', 'gods', 'agree']","['wonder', 'old', 'gods', 'agree']","['wonder', 'old', 'god', 'agree']", wonder old god agree,"{'neg': 0.0, 'neu': 0.303, 'pos': 0.697, 'compound': 0.5574}",0.5574,,0.0,0.0,0.0,0.0
89,4/17/2011,Season 1,Episode 1,Winter is Coming,catelyn stark,"I am so sorry, my love.",House Stark, i am so sorry my love,6,"['i', 'am', 'so', 'sorry', 'my', 'love']","['sorry', 'love']","['sorry', 'love']", sorry love,"{'neg': 0.236, 'neu': 0.0, 'pos': 0.764, 'compound': 0.5994}",0.5994,0.0009264620729588881,0.0009264620729588881,0.0,0.0,0.0
91,4/17/2011,Season 1,Episode 1,Winter is Coming,catelyn stark,There was a raven from Kings Landing. Jon Arryn is dead. A fever took him. I know he was like a father to you.,House Stark, there was a raven from kings landing jon arryn is dead a fever took him i know he was like a father to you,24,"['there', 'was', 'a', 'raven', 'from', 'kings', 'landing', 'jon', 'arryn', 'is', 'dead', 'a', 'fever', 'took', 'him', 'i', 'know', 'he', 'was', 'like', 'a', 'father', 'to', 'you']","['raven', 'kings', 'landing', 'jon', 'arryn', 'dead', 'fever', 'took', 'know', 'like', 'father']","['raven', 'king', 'landing', 'jon', 'arryn', 'dead', 'fever', 'took', 'know', 'like', 'father']", raven king landing jon arryn dead fever took know like father,"{'neg': 0.272, 'neu': 0.57, 'pos': 0.158, 'compound': -0.4215}",-0.4215,0.002709901563404748,0.001231773437911249,0.002061320218792099,0.0008445106805762545,0.0008647028304605984
93,4/17/2011,Season 1,Episode 1,Winter is Coming,catelyn stark,They both have their health. Gods be good. [pause] The raven brought more news. The king rides for Winterfell. With the queen and all the rest of them.,House Stark, they both have their health gods be good pause the raven brought more news the king rides for winterfell with the queen and all the rest of them,28,"['they', 'both', 'have', 'their', 'health', 'gods', 'be', 'good', 'pause', 'the', 'raven', 'brought', 'more', 'news', 'the', 'king', 'rides', 'for', 'winterfell', 'with', 'the', 'queen', 'and', 'all', 'the', 'rest', 'of', 'them']","['health', 'gods', 'good', 'pause', 'raven', 'brought', 'news', 'king', 'rides', 'winterfell', 'queen', 'rest']","['health', 'god', 'good', 'pause', 'raven', 'brought', 'news', 'king', 'ride', 'winterfell', 'queen', 'rest']", health god good pause raven brought news king ride winterfell queen rest,"{'neg': 0.0, 'neu': 0.667, 'pos': 0.333, 'compound': 0.6124}",0.6124,0.0023161551823972205,0.0005790387955993051,0.0008183062548354461,0.000273224043715847,0.0010568590150073982
95,4/17/2011,Season 1,Episode 1,Winter is Coming,catelyn stark,"You can always say no, Ned.",House Stark, you can always say no ned,6,"['you', 'can', 'always', 'say', 'no', 'ned']","['always', 'say', 'ned']","['always', 'say', 'ned']", always say ned,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0012738853503184713,0.0012738853503184713,0.0016663691007558175,0.0016393442622950817,0.001479602621010357
96,4/17/2011,Season 1,Episode 1,Winter is Coming,catelyn stark,We need plenty of candles for Lord Tyrion's chamber. I'm told he reads all night.,House Stark, we need plenty of candles for lord tyrions chamber i am told he reads all night,16,"['we', 'need', 'plenty', 'of', 'candles', 'for', 'lord', 'tyrions', 'chamber', 'i', 'am', 'told', 'he', 'reads', 'all', 'night']","['need', 'plenty', 'candles', 'lord', 'tyrions', 'chamber', 'told', 'reads', 'night']","['need', 'plenty', 'candle', 'lord', 'tyrions', 'chamber', 'told', 'read', 'night']", need plenty candle lord tyrions chamber told read night,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.002721482339316734,0.0006047738531814964,0.00097204864210756,0.00018214936247723133,0.0006341154090044388
98,4/17/2011,Season 1,Episode 1,Winter is Coming,catelyn stark,How much could he possibly drink? A man of his … stature.,House Stark, how much could he possibly drink a man of his … stature,12,"['how', 'much', 'could', 'he', 'possibly', 'drink', 'a', 'man', 'of', 'his', 'stature']","['much', 'could', 'possibly', 'drink', 'man', 'stature']","['much', 'could', 'possibly', 'drink', 'man', 'stature']", much could possibly drink man stature,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0020845396641574984,0.0010422698320787492,0.0006546450038683568,0.0009107468123861566,0.0010568590150073982
99,4/17/2011,Season 1,Episode 1,Winter is Coming,luwin,We've brought up eight barrels of ale from the cellar. Perhaps we'll find out.,House Stark, we have brought up eight barrels of ale from the cellar perhaps we will find out,16,"['we', 'have', 'brought', 'up', 'eight', 'barrels', 'of', 'ale', 'from', 'the', 'cellar', 'perhaps', 'we', 'will', 'find', 'out']","['brought', 'eight', 'barrels', 'ale', 'cellar', 'perhaps', 'find']","['brought', 'eight', 'barrel', 'ale', 'cellar', 'perhaps', 'find']", brought eight barrel ale cellar perhaps find,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,,0.0,0.0,0.0,0.00036235166228825073
100,4/17/2011,Season 1,Episode 1,Winter is Coming,catelyn stark,"In any case, candles.",House Stark, in any case candles,4,"['in', 'any', 'case', 'candles']","['case', 'candles']","['case', 'candle']", case candle,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,,0.0,0.0,0.0,0.0
101,4/17/2011,Season 1,Episode 1,Winter is Coming,jon snow,Why's your mother so dead-set on us getting pretty for the king?,House Stark, why is your mother so deadset on us getting pretty for the king,13,"['why', 'is', 'your', 'mother', 'so', 'deadset', 'on', 'us', 'getting', 'pretty', 'for', 'the', 'king']","['mother', 'deadset', 'us', 'getting', 'pretty', 'king']","['mother', 'deadset', 'u', 'getting', 'pretty', 'king']", mother deadset u getting pretty king,"{'neg': 0.0, 'neu': 0.556, 'pos': 0.444, 'compound': 0.4939}",0.4939,0.0026056745801968733,0.0008685581933989577,0.0010414806879723859,0.0,0.0004227436060029592
103,4/17/2011,Season 1,Episode 1,Winter is Coming,robb stark,I hear the prince is a right royal prick.,House Stark, i hear the prince is a right royal prick,9,"['i', 'hear', 'the', 'prince', 'is', 'a', 'right', 'royal', 'prick']","['hear', 'prince', 'right', 'royal', 'prick']","['hear', 'prince', 'right', 'royal', 'prick']", hear prince right royal prick,"{'neg': 0.375, 'neu': 0.625, 'pos': 0.0, 'compound': -0.34}",-0.34,0.0015055008685581934,0.0006022003474232773,0.0005713265488305659,0.0,0.000507292327203551
105,4/17/2011,Season 1,Episode 1,Winter is Coming,robb stark,"Go on, Tommy, shave him good. He's never met a girl he likes better than his own hair.",House Stark, go on tommy shave him good he is never met a girl he likes better than his own hair,19,"['go', 'on', 'tommy', 'shave', 'him', 'good', 'he', 'is', 'never', 'met', 'a', 'girl', 'he', 'likes', 'better', 'than', 'his', 'own', 'hair']","['go', 'tommy', 'shave', 'good', 'never', 'met', 'girl', 'likes', 'better', 'hair']","['go', 'tommy', 'shave', 'good', 'never', 'met', 'girl', 'like', 'better', 'hair']", go tommy shave good never met girl like better hair,"{'neg': 0.142, 'neu': 0.469, 'pos': 0.389, 'compound': 0.5705}",0.5705,0.001833622852731133,0.0011001737116386797,0.0014461703267273699,0.0008743169398907104,0.001014584654407102
106,4/17/2011,Season 1,Episode 1,Winter is Coming,catelyn stark,"Gods, but they grow fast. [Seeing BRAN on the wall] Brandon!",House Stark, gods but they grow fast seeing bran on the wall brandon,11,"['gods', 'but', 'they', 'grow', 'fast', 'seeing', 'bran', 'on', 'the', 'wall', 'brandon']","['gods', 'grow', 'fast', 'seeing', 'bran', 'wall', 'brandon']","['god', 'grow', 'fast', 'seeing', 'bran', 'wall', 'brandon']", god grow fast seeing bran wall brandon,"{'neg': 0.0, 'neu': 0.741, 'pos': 0.259, 'compound': 0.2732}",0.2732,,0.00014889569029696417,0.000510112990027291,0.0,0.0002717637467161881
107,4/17/2011,Season 1,Episode 1,Winter is Coming,bran stark,I saw the king! He's got hundreds of people!,House Stark, i saw the king he is got hundreds of people,10,"['i', 'saw', 'the', 'king', 'he', 'is', 'got', 'hundreds', 'of', 'people']","['saw', 'king', 'got', 'hundreds', 'people']","['saw', 'king', 'got', 'hundred', 'people']", saw king got hundred people,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,,0.001019108280254777,0.001321192644170684,0.0,0.0008877615726062143
108,4/17/2011,Season 1,Episode 1,Winter is Coming,catelyn stark,How many times have I told you,House Stark, how many times have i told you,7,"['how', 'many', 'times', 'have', 'i', 'told', 'you']","['many', 'times', 'told']","['many', 'time', 'told']", many time told,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,,0.0015055008685581931,0.0014283163720764148,0.0016393442622950817,0.0004227436060029592
