,Release Date,Season,Episode,Episode Title,Name,Sentence,House,Sentences_Clean,Num_Words,Tokenized_Sentence,Tokenized_No_Stop,Stemmed_Sentence,Stemmed_Sentence_Non_Token,Sentiment,Sentiment_Compound_Score
6411,5/27/2012,Season 2,Episode 9,Blackwater,cersei lannister,You brought me something?,House Lannister, you brought me something,4,"['you', 'brought', 'me', 'something']","['brought', 'something']","['brought', 'something']", brought something,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
6010,5/20/2012,Season 2,Episode 8,The Prince of Winterfell,jon snow,The others?,House Stark, the others,2,"['the', 'others']",['others'],['others'], others,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
5431,5/6/2012,Season 2,Episode 6,The Old Gods and the New,robb stark,"It's hard to keep all the rules straight. But if I remember my lessons, a woman of noble birth is always called a lady. Unless she's a queen or a princess. I could find someone who knows.",House Stark, it is hard to keep all the rules straight but if i remember my lessons a woman of noble birth is always called a lady unless she is a queen or a princess i could find someone who knows,39,"['it', 'is', 'hard', 'to', 'keep', 'all', 'the', 'rules', 'straight', 'but', 'if', 'i', 'remember', 'my', 'lessons', 'a', 'woman', 'of', 'noble', 'birth', 'is', 'always', 'called', 'a', 'lady', 'unless', 'she', 'is', 'a', 'queen', 'or', 'a', 'princess', 'i', 'could', 'find', 'someone', 'who', 'knows']","['hard', 'keep', 'rules', 'straight', 'remember', 'lessons', 'woman', 'noble', 'birth', 'always', 'called', 'lady', 'unless', 'queen', 'princess', 'could', 'find', 'someone', 'knows']","['hard', 'keep', 'rule', 'straight', 'remember', 'lesson', 'woman', 'noble', 'birth', 'always', 'called', 'lady', 'unless', 'queen', 'princess', 'could', 'find', 'someone', 'know']", hard keep rule straight remember lesson woman noble birth always called lady unless queen princess could find someone know,"{'neg': 0.063, 'neu': 0.717, 'pos': 0.22, 'compound': 0.5423}",0.5423
3457,4/1/2012,Season 2,Episode 1,The North Remembers,cersei lannister,And which truth is that?,House Lannister, and which truth is that,5,"['and', 'which', 'truth', 'is', 'that']",['truth'],['truth'], truth,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.3182}",0.3182
5000,4/29/2012,Season 2,Episode 5,The Ghost of Harrenhal,hodor,Hodor.,House Stark, hodor,1,['hodor'],['hodor'],['hodor'], hodor,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
5744,5/13/2012,Season 2,Episode 7,A Man Without Honor,jorah mormont,My place is by your side. I shouldn't have left you alone with these people.,House Mormont, my place is by your side i should not have left you alone with these people,16,"['my', 'place', 'is', 'by', 'your', 'side', 'i', 'should', 'not', 'have', 'left', 'you', 'alone', 'with', 'these', 'people']","['place', 'side', 'left', 'alone', 'people']","['place', 'side', 'left', 'alone', 'people']", place side left alone people,"{'neg': 0.333, 'neu': 0.667, 'pos': 0.0, 'compound': -0.25}",-0.25
6489,5/27/2012,Season 2,Episode 9,Blackwater,joffrey lannister,Sansa.,House Lannister, sansa,1,['sansa'],['sansa'],['sansa'], sansa,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
3249,4/1/2012,Season 2,Episode 1,The North Remembers,tyrion lannister,Joffrey is King.,House Lannister, joffrey is king,3,"['joffrey', 'is', 'king']","['joffrey', 'king']","['joffrey', 'king']", joffrey king,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
5430,5/6/2012,Season 2,Episode 6,The Old Gods and the New,talisa,Your Grace. I'm not sure I'm a lady. Westerosi customs are still a bit foreign to me.,House Stark, your grace i am not sure i am a lady westerosi customs are still a bit foreign to me,19,"['your', 'grace', 'i', 'am', 'not', 'sure', 'i', 'am', 'a', 'lady', 'westerosi', 'customs', 'are', 'still', 'a', 'bit', 'foreign', 'to', 'me']","['grace', 'sure', 'lady', 'westerosi', 'customs', 'still', 'bit', 'foreign']","['grace', 'sure', 'lady', 'westerosi', 'custom', 'still', 'bit', 'foreign']", grace sure lady westerosi custom still bit foreign,"{'neg': 0.0, 'neu': 0.541, 'pos': 0.459, 'compound': 0.6249}",0.6249
5607,5/13/2012,Season 2,Episode 7,A Man Without Honor,tywin lannister,Wolfsbane. A rare substance. This is no common assassin.,House Lannister, wolfsbane a rare substance this is no common assassin,9,"['wolfsbane', 'a', 'rare', 'substance', 'this', 'is', 'no', 'common', 'assassin']","['wolfsbane', 'rare', 'substance', 'common', 'assassin']","['wolfsbane', 'rare', 'substance', 'common', 'assassin']", wolfsbane rare substance common assassin,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
4634,4/22/2012,Season 2,Episode 4,Garden of Bones,tyrion lannister,"Oh, rise, rise. Let us drink to our understanding. Oh, you don't have a cup. Oh, well. Smile, cousin. My sister is a beautiful woman, and it's all for the good of the realm. Go back and tell her that I beg her forgiveness, that I want no more conflict between us and that, henceforth, I shall do nothing without her consent.",House Lannister, oh rise rise let us drink to our understanding oh you do not have a cup oh well smile cousin my sister is a beautiful woman and it is all for the good of the realm go back and tell her that i beg her forgiveness that i want no more conflict between us and that henceforth i shall do nothing without her consent,64,"['oh', 'rise', 'rise', 'let', 'us', 'drink', 'to', 'our', 'understanding', 'oh', 'you', 'do', 'not', 'have', 'a', 'cup', 'oh', 'well', 'smile', 'cousin', 'my', 'sister', 'is', 'a', 'beautiful', 'woman', 'and', 'it', 'is', 'all', 'for', 'the', 'good', 'of', 'the', 'realm', 'go', 'back', 'and', 'tell', 'her', 'that', 'i', 'beg', 'her', 'forgiveness', 'that', 'i', 'want', 'no', 'more', 'conflict', 'between', 'us', 'and', 'that', 'henceforth', 'i', 'shall', 'do', 'nothing', 'without', 'her', 'consent']","['oh', 'rise', 'rise', 'let', 'us', 'drink', 'understanding', 'oh', 'cup', 'oh', 'well', 'smile', 'cousin', 'sister', 'beautiful', 'woman', 'good', 'realm', 'go', 'back', 'tell', 'beg', 'forgiveness', 'want', 'conflict', 'us', 'henceforth', 'shall', 'nothing', 'without', 'consent']","['oh', 'rise', 'rise', 'let', 'u', 'drink', 'understanding', 'oh', 'cup', 'oh', 'well', 'smile', 'cousin', 'sister', 'beautiful', 'woman', 'good', 'realm', 'go', 'back', 'tell', 'beg', 'forgiveness', 'want', 'conflict', 'u', 'henceforth', 'shall', 'nothing', 'without', 'consent']", oh rise rise let u drink understanding oh cup oh well smile cousin sister beautiful woman good realm go back tell beg forgiveness want conflict u henceforth shall nothing without consent,"{'neg': 0.058, 'neu': 0.53, 'pos': 0.412, 'compound': 0.8999}",0.8999
4635,4/22/2012,Season 2,Episode 4,Garden of Bones,lancel lannister,But her demands?,House Lannister, but her demands,3,"['but', 'her', 'demands']",['demands'],['demand'], demand,"{'neg': 1.0, 'neu': 0.0, 'pos': 0.0, 'compound': -0.128}",-0.128
5180,5/6/2012,Season 2,Episode 6,The Old Gods and the New,bran stark,"Please, stop this. Please stop him.",House Stark, please stop this please stop him,6,"['please', 'stop', 'this', 'please', 'stop', 'him']","['please', 'stop', 'please', 'stop']","['please', 'stop', 'please', 'stop']", please stop please stop,"{'neg': 0.489, 'neu': 0.0, 'pos': 0.511, 'compound': 0.0516}",0.0516
5953,5/13/2012,Season 2,Episode 7,A Man Without Honor,jaime lannister,"So many vows. They make you swear and swear. Defend the king, obey the king, obey your father, protect the innocent, defend the weak. But what if your father despises the king? What if the king massacres the innocent? It's too much. No matter what you do, you're forsaking one vow or another. Where did you find this beast?",House Lannister, so many vows they make you swear and swear defend the king obey the king obey your father protect the innocent defend the weak but what if your father despises the king what if the king massacres the innocent it is too much no matter what you do you are forsaking one vow or another where did you find this beast,61,"['so', 'many', 'vows', 'they', 'make', 'you', 'swear', 'and', 'swear', 'defend', 'the', 'king', 'obey', 'the', 'king', 'obey', 'your', 'father', 'protect', 'the', 'innocent', 'defend', 'the', 'weak', 'but', 'what', 'if', 'your', 'father', 'despises', 'the', 'king', 'what', 'if', 'the', 'king', 'massacres', 'the', 'innocent', 'it', 'is', 'too', 'much', 'no', 'matter', 'what', 'you', 'do', 'you', 'are', 'forsaking', 'one', 'vow', 'or', 'another', 'where', 'did', 'you', 'find', 'this', 'beast']","['many', 'vows', 'make', 'swear', 'swear', 'defend', 'king', 'obey', 'king', 'obey', 'father', 'protect', 'innocent', 'defend', 'weak', 'father', 'despises', 'king', 'king', 'massacres', 'innocent', 'much', 'matter', 'forsaking', 'one', 'vow', 'another', 'find', 'beast']","['many', 'vow', 'make', 'swear', 'swear', 'defend', 'king', 'obey', 'king', 'obey', 'father', 'protect', 'innocent', 'defend', 'weak', 'father', 'despises', 'king', 'king', 'massacre', 'innocent', 'much', 'matter', 'forsaking', 'one', 'vow', 'another', 'find', 'beast']", many vow make swear swear defend king obey king obey father protect innocent defend weak father despises king king massacre innocent much matter forsaking one vow another find beast,"{'neg': 0.22, 'neu': 0.556, 'pos': 0.225, 'compound': 0.0516}",0.0516
6637,5/27/2012,Season 2,Episode 9,Blackwater,cersei lannister,What?,House Lannister, what,1,['what'],[],[],,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",0.0
4384,4/22/2012,Season 2,Episode 4,Garden of Bones,joffrey lannister,Killing you would send your brother a message.,House Lannister, killing you would send your brother a message,8,"['killing', 'you', 'would', 'send', 'your', 'brother', 'a', 'message']","['killing', 'would', 'send', 'brother', 'message']","['killing', 'would', 'send', 'brother', 'message']", killing would send brother message,"{'neg': 0.524, 'neu': 0.476, 'pos': 0.0, 'compound': -0.6597}",-0.6597
6642,5/27/2012,Season 2,Episode 9,Blackwater,lancel lannister,"No, but I-",House Lannister, no but i,3,"['no', 'but', 'i']",[],[],,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",0.0
4248,4/15/2012,Season 2,Episode 3,What Is Dead May Never Die,grand maester pycelle,I am your loyal servant.,House Lannister, i am your loyal servant,5,"['i', 'am', 'your', 'loyal', 'servant']","['loyal', 'servant']","['loyal', 'servant']", loyal servant,"{'neg': 0.0, 'neu': 0.244, 'pos': 0.756, 'compound': 0.4767}",0.4767
3449,4/1/2012,Season 2,Episode 1,The North Remembers,cersei lannister,"If we choose to negotiate with the Starks, the girl has some value. Whoever finds her, well, you know what they say about Lannisters and debts.",House Lannister, if we choose to negotiate with the starks the girl has some value whoever finds her well you know what they say about lannisters and debts,26,"['if', 'we', 'choose', 'to', 'negotiate', 'with', 'the', 'starks', 'the', 'girl', 'has', 'some', 'value', 'whoever', 'finds', 'her', 'well', 'you', 'know', 'what', 'they', 'say', 'about', 'lannisters', 'and', 'debts']","['choose', 'negotiate', 'starks', 'girl', 'value', 'whoever', 'finds', 'well', 'know', 'say', 'lannisters', 'debts']","['choose', 'negotiate', 'starks', 'girl', 'value', 'whoever', 'find', 'well', 'know', 'say', 'lannisters', 'debt']", choose negotiate starks girl value whoever find well know say lannisters debt,"{'neg': 0.156, 'neu': 0.562, 'pos': 0.281, 'compound': 0.25}",0.25
3511,4/1/2012,Season 2,Episode 1,The North Remembers,joffrey lannister,The King does not ask; He commands. And my grandfather's stupidity in the field of battle is the reason Robb Stark has Uncle Jaime in the first place.,House Lannister, the king does not ask he commands and my grandfathers stupidity in the field of battle is the reason robb stark has uncle jaime in the first place,28,"['the', 'king', 'does', 'not', 'ask', 'he', 'commands', 'and', 'my', 'grandfathers', 'stupidity', 'in', 'the', 'field', 'of', 'battle', 'is', 'the', 'reason', 'robb', 'stark', 'has', 'uncle', 'jaime', 'in', 'the', 'first', 'place']","['king', 'ask', 'commands', 'grandfathers', 'stupidity', 'field', 'battle', 'reason', 'robb', 'stark', 'uncle', 'jaime', 'first', 'place']","['king', 'ask', 'command', 'grandfather', 'stupidity', 'field', 'battle', 'reason', 'robb', 'stark', 'uncle', 'jaime', 'first', 'place']", king ask command grandfather stupidity field battle reason robb stark uncle jaime first place,"{'neg': 0.314, 'neu': 0.686, 'pos': 0.0, 'compound': -0.6705}",-0.6705
3260,4/1/2012,Season 2,Episode 1,The North Remembers,luwin,Maintenance of a Holdfast generally falls to the lord of that Holdfast.,House Stark, maintenance of a holdfast generally falls to the lord of that holdfast,12,"['maintenance', 'of', 'a', 'holdfast', 'generally', 'falls', 'to', 'the', 'lord', 'of', 'that', 'holdfast']","['maintenance', 'holdfast', 'generally', 'falls', 'lord', 'holdfast']","['maintenance', 'holdfast', 'generally', 'fall', 'lord', 'holdfast']", maintenance holdfast generally fall lord holdfast,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
6990,6/3/2012,Season 2,Episode 10,Valar Morghulis,arya stark,Where?,House Stark, where,1,['where'],[],[],,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",0.0
6021,5/20/2012,Season 2,Episode 8,The Prince of Winterfell,talisa,And you're marrying her for a bridge?,House Stark, and you are marrying her for a bridge,8,"['and', 'you', 'are', 'marrying', 'her', 'for', 'a', 'bridge']","['marrying', 'bridge']","['marrying', 'bridge']", marrying bridge,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
3495,4/1/2012,Season 2,Episode 1,The North Remembers,catelyn stark,Why in the name of all the Gods -,House Stark, why in the name of all the gods ,8,"['why', 'in', 'the', 'name', 'of', 'all', 'the', 'gods']","['name', 'gods']","['name', 'god']", name god,"{'neg': 0.0, 'neu': 0.323, 'pos': 0.677, 'compound': 0.2732}",0.2732
4902,4/29/2012,Season 2,Episode 5,The Ghost of Harrenhal,jon snow,One blast is for rangers returning. Wildlings is two blasts.,House Stark, one blast is for rangers returning wildlings is two blasts,10,"['one', 'blast', 'is', 'for', 'rangers', 'returning', 'wildlings', 'is', 'two', 'blasts']","['one', 'blast', 'rangers', 'returning', 'wildlings', 'two', 'blasts']","['one', 'blast', 'ranger', 'returning', 'wildlings', 'two', 'blast']", one blast ranger returning wildlings two blast,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
5821,5/13/2012,Season 2,Episode 7,A Man Without Honor,alton,"I remember everything about that day, your helmet, your horse, the rake lines in the dirt along the list, where the sun was in the sky when you knocked Balon from his horse, and the dent in your shield when you handed it back to me. I'll remember it all until I die. That was the best day of my life. And I remember being on the field after it was over. All the competitors were done. I was the last one out there. And I couldn't leave. I couldn't bring myself to go and sit with my family at a table so far on the edge of the feast you could barely even see the bride. And I couldn't bear to tell them what it had been like squiring for you, when I knew that they could never have the faintest idea what I was talking about.",House Lannister, i remember everything about that day your helmet your horse the rake lines in the dirt along the list where the sun was in the sky when you knocked balon from his horse and the dent in your shield when you handed it back to me i will remember it all until i die that was the best day of my life and i remember being on the field after it was over all the competitors were done i was the last one out there and i could not leave i could not bring myself to go and sit with my family at a table so far on the edge of the feast you could barely even see the bride and i could not bear to tell them what it had been like squiring for you when i knew that they could never have the faintest idea what i was talking about,152,"['i', 'remember', 'everything', 'about', 'that', 'day', 'your', 'helmet', 'your', 'horse', 'the', 'rake', 'lines', 'in', 'the', 'dirt', 'along', 'the', 'list', 'where', 'the', 'sun', 'was', 'in', 'the', 'sky', 'when', 'you', 'knocked', 'balon', 'from', 'his', 'horse', 'and', 'the', 'dent', 'in', 'your', 'shield', 'when', 'you', 'handed', 'it', 'back', 'to', 'me', 'i', 'will', 'remember', 'it', 'all', 'until', 'i', 'die', 'that', 'was', 'the', 'best', 'day', 'of', 'my', 'life', 'and', 'i', 'remember', 'being', 'on', 'the', 'field', 'after', 'it', 'was', 'over', 'all', 'the', 'competitors', 'were', 'done', 'i', 'was', 'the', 'last', 'one', 'out', 'there', 'and', 'i', 'could', 'not', 'leave', 'i', 'could', 'not', 'bring', 'myself', 'to', 'go', 'and', 'sit', 'with', 'my', 'family', 'at', 'a', 'table', 'so', 'far', 'on', 'the', 'edge', 'of', 'the', 'feast', 'you', 'could', 'barely', 'even', 'see', 'the', 'bride', 'and', 'i', 'could', 'not', 'bear', 'to', 'tell', 'them', 'what', 'it', 'had', 'been', 'like', 'squiring', 'for', 'you', 'when', 'i', 'knew', 'that', 'they', 'could', 'never', 'have', 'the', 'faintest', 'idea', 'what', 'i', 'was', 'talking', 'about']","['remember', 'everything', 'day', 'helmet', 'horse', 'rake', 'lines', 'dirt', 'along', 'list', 'sun', 'sky', 'knocked', 'balon', 'horse', 'dent', 'shield', 'handed', 'back', 'remember', 'die', 'best', 'day', 'life', 'remember', 'field', 'competitors', 'done', 'last', 'one', 'could', 'leave', 'could', 'bring', 'go', 'sit', 'family', 'table', 'far', 'edge', 'feast', 'could', 'barely', 'even', 'see', 'bride', 'could', 'bear', 'tell', 'like', 'squiring', 'knew', 'could', 'never', 'faintest', 'idea', 'talking']","['remember', 'everything', 'day', 'helmet', 'horse', 'rake', 'line', 'dirt', 'along', 'list', 'sun', 'sky', 'knocked', 'balon', 'horse', 'dent', 'shield', 'handed', 'back', 'remember', 'die', 'best', 'day', 'life', 'remember', 'field', 'competitor', 'done', 'last', 'one', 'could', 'leave', 'could', 'bring', 'go', 'sit', 'family', 'table', 'far', 'edge', 'feast', 'could', 'barely', 'even', 'see', 'bride', 'could', 'bear', 'tell', 'like', 'squiring', 'knew', 'could', 'never', 'faintest', 'idea', 'talking']", remember everything day helmet horse rake line dirt along list sun sky knocked balon horse dent shield handed back remember die best day life remember field competitor done last one could leave could bring go sit family table far edge feast could barely even see bride could bear tell like squiring knew could never faintest idea talking,"{'neg': 0.113, 'neu': 0.785, 'pos': 0.101, 'compound': 0.0516}",0.0516
6380,5/20/2012,Season 2,Episode 8,The Prince of Winterfell,luwin,You're right so far.,House Stark, you are right so far,5,"['you', 'are', 'right', 'so', 'far']","['right', 'far']","['right', 'far']", right far,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
3787,4/8/2012,Season 2,Episode 2,The Night Lands,arya stark,So?,House Stark, so,1,['so'],[],[],,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",0.0
4178,4/15/2012,Season 2,Episode 3,What Is Dead May Never Die,tyrion lannister,You served my family well in the matter of the succession.,House Lannister, you served my family well in the matter of the succession,11,"['you', 'served', 'my', 'family', 'well', 'in', 'the', 'matter', 'of', 'the', 'succession']","['served', 'family', 'well', 'matter', 'succession']","['served', 'family', 'well', 'matter', 'succession']", served family well matter succession,"{'neg': 0.0, 'neu': 0.286, 'pos': 0.714, 'compound': 0.4588}",0.4588
3245,4/1/2012,Season 2,Episode 1,The North Remembers,tyrion lannister,Who's won every battle he's fought. Do you understand we're losing the war?,House Lannister, who is won every battle he is fought do you understand we are losing the war,16,"['who', 'is', 'won', 'every', 'battle', 'he', 'is', 'fought', 'do', 'you', 'understand', 'we', 'are', 'losing', 'the', 'war']","['every', 'battle', 'fought', 'understand', 'losing', 'war']","['every', 'battle', 'fought', 'understand', 'losing', 'war']", every battle fought understand losing war,"{'neg': 0.851, 'neu': 0.149, 'pos': 0.0, 'compound': -0.886}",-0.886
5964,5/13/2012,Season 2,Episode 7,A Man Without Honor,luwin,No!,House Stark, no,1,['no'],[],[],,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",0.0
5771,5/13/2012,Season 2,Episode 7,A Man Without Honor,jon snow,Enough!,House Stark, enough,1,['enough'],['enough'],['enough'], enough,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
5244,5/6/2012,Season 2,Episode 6,The Old Gods and the New,tywin lannister,"I'll have an answer by nightfall. That'll be all, girl.",House Lannister, i will have an answer by nightfall thatll be all girl,11,"['i', 'will', 'have', 'an', 'answer', 'by', 'nightfall', 'thatll', 'be', 'all', 'girl']","['answer', 'nightfall', 'thatll', 'girl']","['answer', 'nightfall', 'thatll', 'girl']", answer nightfall thatll girl,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
5832,5/13/2012,Season 2,Episode 7,A Man Without Honor,alton,Did you squire for him again?,House Lannister, did you squire for him again,6,"['did', 'you', 'squire', 'for', 'him', 'again']",['squire'],['squire'], squire,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0
